date_posted,company,role,location,application_url,deadline,source,source_date_kind,notes
2026-09-25,Interbrand,Praktikum Brand Design // Intern Brand Design (all genders),Cologne,https://job-boards.greenhouse.io/interbrand/jobs/8233326,Not listed,greenhouse:interbrand,first_published,non_us_location
2026-09-25,DoorDash,"Product Design, Intern (Summer 2027)","San Francisco, CA; New York, NY",https://job-boards.greenhouse.io/doordashusa/jobs/8176863,Not listed,greenhouse:doordashusa,updated,weak_digital_signal
2026-09-24,StackAdapt,Product Design Intern - Winter 2027,Canada,https://job-boards.greenhouse.io/stackadapt/jobs/4398009009,Not listed,greenhouse:stackadapt,updated,non_us_location
2026-09-24,Mill,"Product Design Engineering Intern, Summer 2027","San Bruno, California",https://job-boards.greenhouse.io/mill/jobs/4737767005,Not listed,greenhouse:mill,first_published,physical_title:product design engineering
2026-09-23,SharkNinja,Fall 2026: Industrial Design Intern (September through December),"Needham, MA, United States",https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4601610006,Not listed,greenhouse:sharkninjaoperatingllc,updated,physical_title:industrial design
2026-09-23,SharkNinja,Fall 2026: Industrial Design Co-op (August through December),"Needham, MA, United States",https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4655076006,Not listed,greenhouse:sharkninjaoperatingllc,updated,physical_title:industrial design
2026-09-18,Landor,Graphic Designer Intern,Paris,https://job-boards.greenhouse.io/landor/jobs/5465981,Not listed,greenhouse:landor,updated,non_us_location
2026-09-18,Landor,Design Intern,Shanghai,https://job-boards.greenhouse.io/landor/jobs/8190084,Not listed,greenhouse:landor,updated,weak_digital_signal
2026-09-18,Deeplocal, Design Intern - Winter / Spring 2027,Pittsburgh,https://job-boards.greenhouse.io/deeplocal/jobs/8147967,Not listed,greenhouse:deeplocal,updated,"physical_content:fabrication, rhino"
2026-09-17,SharkNinja,Product Design Engineering Intern Opportunities ,"Needham, MA, United States",https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4713810006,Not listed,greenhouse:sharkninjaoperatingllc,first_published,physical_title:product design engineering
2026-09-17,SharkNinja,Product Design Engineering Co-op Opportunities,"Needham, MA, United States",https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4713800006,Not listed,greenhouse:sharkninjaoperatingllc,first_published,physical_title:product design engineering
2026-09-16,Mill,"Product Design Engineering Intern, Fall/Winter 2026","San Bruno, California",https://job-boards.greenhouse.io/mill/jobs/4674154005,Not listed,greenhouse:mill,updated,physical_title:product design engineering
